Word,Definition,Other Meanings,Nominative,Dative,Accusative,Present,Imperfect,Perfect,Other Information
Salve,Hello,,,,,,,,Salvete = hello (plural)
Vale,Goodbye,,,,,,,,Valete = goodbye (plural)
et,And,,,,,,,,
est,Is,,,,,"I = sum , you (singular) = es , he/she = est , we = sumus , you (plural) = estis , they = sunt\n"" ,imperfect=""I = eram, you(singular) = eras, he/she = erat, we = eramus, you(plural) = eratis, they = erant",,,
In,In,On,,,,,,,
Sunt,Are,There are / They are,,,,"I = sum, you(singular) = es, he/she = est, we = sumus, you(plural) = estis, they = sunt","I = eram, you(singular) = eras, he/she = erat, we = eramus, you(plural) = eratis, they = erant",,
Non,Not,No,,,,,,,
Insula,Island,,,,,,,,
Sed,But,,,,,,,,
Oppidum,Town,,,,,,,,
Quoque,Also,Too,,,,,,,
Canis,Dog,,canis(singular) / canes(plural),cani(singular) / canibus(plural),canem(singular) / canes(plural),,,,
Coquus,Cook,,coquus(singular) / coqui(plural),coquo(singular) / coquis(plural),coquum(singular) / coquos(plural),,,,
Filia,Daughter,,filia(singular) / filiae(plural),filiae(singular) / filiis(plural),filiam(singular) / filias(plural),,,,
Filius,Son,,filius(singular) / filii(plural),filio(singular) / filiis(plural),filium(singular) / filios(plural),,,,
Hortus,Garden,,hortus(singular) / horti(plural),horto(singular) / hortis(plural),hortum(singular) / hortos(plural),,,,
Mater,Mother,,mater(singular) / matres(plural),matri(singular) / matribus(plural),matrem(singular) / matres(plural),,,,
Pater,Father,,pater(singular) / patres(plural),patri(singular) / patribus(plural),patrem(singular) / patres(plural),,,,
Servus,Servant,Slave,servus(singular) / servi(plural),servo(singular) / servis(plural),servum(singular) / servos(plural),,,,
Via,Road,Street / Way,via(singular) / viae(plural),viae(singular) / viis(plural),viam(singular) / vias(plural),,,,
Amicus,Friend,,amicus(singular) / amici(plural),amico(singular) / amicis(plural),amicum(singular) / amicos(plural),,,,
Ancilla,Female Slave,Female Servant,ancilla(singular) / ancillae,ancillae(singular) / ancillis(plural),anicillam(singular) / ancillas(plural),,,,
Cena,Dinner,,cena(singular) / cenae(plural),cenae(singular) / cenis(plural),cenam(singular) / cenas(plural),,,,
Cibus,Food,,cibus(singular) / cibi(plural),cibo(singular) / cibis(plural),cibum(singular) / cibos(plural),,,,
Intro,Enters,,,,,"I = intro , you(singular) = intras , he/she = intrat , we = intramus , you(plural) = intratis , they = intrant","I = intrabam , you(singular) = intrabas , he/she = intrabat , we = intrabamus , you(plural) = intrabatis , they = intrabant","I = intravi , you(singular) = intravisti , he/she = intravit , we = intravimus , you(plural) = intravistis , they = intraverunt",
Saluto,Greets,,,,,"I = saluto , you(singular) = salutas , he/she = salutat , we = salutamus , you(plural) = salutamus , you(plural) = salutatis , they = salutant","I = salutabam , you(singular) = salutabas , he/she = salutabat , we = salutabamus , you(plural) = salutabatis , they = salutabant","I = salutavi , you(singular) = salutavisti , he/she = salutavit , we = salutavimus , you(plural) = salutavistis , they = salutaverunt",
Porto,Carry,,,,,"I = porto , you(singular) = portas , he/she = portat , we = portamus , you(plural) = portatis , they = portant","I = portabam , you(singular) = portabas , he/she = portabat , we = portabamus , you(plural) = portabatis , they = portabant","I = portavi , you(singular) = portavisti , he/she = portavit , we = portavimus , you(plural) = portavistis , they = portaverunt",
Video,See,,,,,"I = video , you(singular) = vides , he/she = videt , we = videmus , you(plural) , vident","I = videbam , you(singular) = videbas , he/she = videbat , we = videbamus , you(plural) = videbatis , they = videbant","I = vidi , you(singular) = vidisti , he/she = vidit , we = vidimus , you(plural) = vidistis , they = viderunt",
Dominus,Master,Lord,dominus(singular) / domini(plural),domino(singular) / dominis(plural),dominum(singular) / dominos(plural),,,,
Laetus,Happy,,,,,,,,
Mercator,Merchant,,mercator(singular) / mercatores(plural),mercatori(singular) / mercatoribus(plural),mercatorem(singular) / mercatores(plural),,,,
Audio,Hear,,,,,"I = audio , you(singular) = audis , he/she = audit , we = audimus , you(plural) = auditis , they = audiunt","I = audiebam , you(singular) = audiebas , he/she = audiebat , we = audiebamus , you(plural) = audiebatis , they = audiebant","I = audivi , you(singular) = audvisiti , he/she = audivit , we = audivimus , you(plural) = audivistis , they = audiverunt",
Dico,Say,,,,,"I = dico , you(singular) = dicis , he/she = dicit , we = dicimus , you(plural) = dicitis , they = dicunt","I = dicebam , you(singular) = dicebas , he/she = dicebat , we = dicebamus , you(plural) = dicebatis , they = dicebant","I = dixi , you(singular) = dixisti , he/she = dixit , we = diximus , you(plural) = dixistis , they = dixerunt",
Unus,One,,,,,,,,
Duo,Two,,,,,,,,
Tres,Three,,,,,,,,
Quattuor,Four,,,,,,,,
Quinque,Five,,,,,,,,
Sex,Six,,,,,,,,
Septem,Seven,,,,,,,,
Octo,Eight,,,,,,,,
Novem,Nine,,,,,,,,
Decem,Ten,,,,,,,,
Ad,To,Towards / At,,,,,,,
Ecce,Look,Behold,,,,,,,
Magnus,Big,Large / Great,,,,,,,
Parvus,Small,Little,,,,,,,
Ambulo,Walk,,,,,"I = ambulo , you(singular) = ambulas , he/she = ambulat , we = ambulamus , you(plural) = ambulatis , ambulant","I = ambulabam , you(singular) = ambulabas , he/she = ambulabat , we = ambulabamus , you(plural) = ambulabatis , they = ambulabant","I = ambulavi , you(singular) = ambulavisti , he/she = ambulavit , we = ambulavimus , you(plural) = ambulavistis , they = ambulaverunt",
Iratus,Angry,,,,,,,,
Quis,Who,,,,,,,,
Quid,What,,,,,,,,
Cur,Why,,,,,,,,
Ubi,Where,When,,,,,,,
Sum,I am,,,,,"I = sum , you(singular) = es , he/she = est , we = sumus , you(plural) = estis , they = sunt","I = eram , you(singular) = eras , he/she = erat , we = eramus , you(plural) = eratis , they = erant",,
Eheu,Oh no,Oh dear / Alas,,,,,,,
